Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
34	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	28	0	65.023683	42	9268.996665	9263.279150	3.66006e+06	6	7	22	0.922915	0.890566	1	58.3434	33.6165	1.12919	6	1545.220825	1546.725220	0.842103	0.959123	0.0461538
35	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	46	0	65.023683	42	9270.008349	9264.290834	1.52583e+06	6	6	10	0.891814	0.891814	1	34.0771	34.0771	0.781673	6	1545.220825	1546.725220	0.729472	0.838455	0.833991
36	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	7	0	65.023683	42	9307.047011	9301.304459	1.81372e+07	6	8	35	0.992147	0.987517	1	356.763	314.609	0.736854	7	1329.761841	1331.627686	0.972106	1.000000	0
37	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	18	0	65.023683	42	9329.123178	9323.284580	5.92166e+06	6	8	25	0.975841	0.97591	1	193.541	178.005	0.840499	6	1555.053833	1556.724731	0.955984	0.999991	0
38	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	24	0	65.023683	42	9346.109494	9340.259286	4.00276e+06	6	7	24	0.905356	0.94154	1	65.2641	69.5412	0.771587	6	1558.052246	1559.888794	0.809704	0.960936	0.03125
39	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9367.106251	9361.256043	2.00876e+06	6	7	16	0.859647	0.960152	1	66.3408	105.087	1.81334	6	1561.714966	1563.052246	0.590240	0.590240	0.871184
40	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	34	0	65.023683	42	9405.182341	9399.279326	3.1259e+06	6	7	17	0.981705	0.947898	1	94.9884	79.4745	1.20675	6	1568.053223	1569.720215	0.950629	0.999997	0
41	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9427.170580	9421.255674	860731	6	6	6	0.916859	0.916859	1	31.2507	31.2507	1.50115	6	1571.721191	1572.718262	0.797597	0.797597	0.833991
42	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	48	0	65.023683	42	9428.177003	9422.262097	1.44002e+06	6	7	11	0.944469	0.825957	1	30.3148	19.2875	1.60208	7	1347.618164	1348.194214	0.856082	0.948926	0.0913847
43	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9437.454497	9431.539591	765347	7	8	8	0.861773	0.770115	1	16.1578	10.3747	1.60904	8	1180.448364	1180.953003	0.491712	0.491712	0.913789
